iter	RMSE
698	28001.0692
699	27995.38413
700	27986.93649
701	27978.29515
702	27966.07778
703	27965.49157
704	27951.60195
705	27951.4011
706	27935.38116
707	27925.81766
708	27916.65313
709	27916.1568
710	27909.51435
711	27903.14596
712	27896.29958
713	27886.42054
714	27872.75121
715	27853.16877
716	27845.69024
717	27834.30381
718	27828.08528
719	27818.49516
720	27817.99067
721	27806.83524
722	27799.78839
723	27787.04637
724	27782.7413
725	27780.12241
726	27765.48623
727	27746.6863
728	27746.1326
729	27740.53819
730	27734.63019
731	27723.22432
732	27721.91065
733	27719.45642
734	27714.86063
735	27710.22979
736	27701.9674
737	27698.95572
738	27691.63382
739	27678.32311
740	27667.39097
741	27656.95412
742	27648.16742
743	27639.27503
744	27630.53679
745	27623.42774
746	27603.72833
747	27589.67831
748	27583.76347
749	27563.22935
750	27540.69034
751	27530.11901
752	27529.91116
753	27520.18944
754	27519.67338
755	27515.94378
756	27509.09957
757	27503.68653
758	27492.72662
759	27478.00286
760	27472.89534
761	27463.72847
762	27457.77485
763	27453.37465
764	27436.24091
765	27435.72722
766	27427.73408
767	27421.89744
768	27414.47342
769	27398.50433
770	27382.14562
771	27375.22444
772	27370.74745
773	27364.2891
774	27364.16261
775	27348.26154
776	27342.23658
777	27335.07095
778	27324.66814
779	27314.48425
780	27305.49374
781	27293.15345
782	27274.29992
783	27262.91384
784	27256.08516
785	27244.41531
786	27239.38363
787	27230.9562
788	27220.67186
789	27204.66941
790	27198.52513
791	27185.01227
792	27181.36493
793	27179.74301
794	27173.40589
795	27165.96974
796	27151.6736
797	27135.06501
798	27119.919
799	27112.82331
800	27105.77898
801	27095.54531
802	27082.50549
803	27071.20521
804	27060.62905
805	27050.93707
806	27041.30118
807	27032.67595
808	27029.16538
809	27011.27703
810	26998.36143
811	26984.19201
812	26983.7936
813	26980.65456
814	26974.59794
815	26968.77972
816	26959.48641
817	26946.01433
818	26929.07454
819	26922.33933
820	26922.09242
821	26909.76832
822	26909.62141
823	26894.33843
824	26886.8911
825	26875.11042
826	26864.80762
827	26851.16879
828	26842.01004
829	26833.55068
830	26825.01192
831	26814.00348
832	26808.64785
833	26792.06034
834	26785.64322
835	26777.40537
836	26773.69291
837	26767.96615
838	26762.10195
839	26747.73674
840	26742.8644
841	26723.30203
842	26713.67995
843	26706.2206
844	26701.08587
845	26700.84853
846	26692.40068
847	26682.51316
848	26667.22322
849	26657.62887
850	26647.27885
851	26638.22738
852	26625.87816
853	26613.63152
854	26604.75956
855	26591.42694
856	26587.14018
857	26567.17845
858	26560.3168
859	26553.53493
860	26541.06756
861	26530.24078
862	26525.7223
863	26519.40052
864	26495.22541
865	26479.90906
866	26463.21995
867	26455.60774
868	26438.68855
869	26430.40923
870	26421.06189
871	26420.00007
872	26419.775
873	26409.16883
874	26408.13518
875	26403.97461
876	26401.42462
877	26400.13343
878	26391.27074
879	26377.82925
880	26374.7511
881	26365.30397
882	26352.97109
883	26351.99236
884	26343.69058
885	26334.57345
886	26334.19274
887	26325.54559
888	26320.95459
889	26297.99625
890	26277.82599
891	26264.39647
892	26244.6305
893	26243.94214
894	26232.63685
895	26227.20205
896	26222.6094
897	26208.43075
898	26208.09064
899	26199.94698
900	26190.33896
901	26173.6324
902	26167.37611
903	26153.87458
904	26150.86092
905	26142.42821
906	26132.75221
907	26128.24945
908	26119.21167
909	26095.42277
910	26087.56232
911	26086.59733
912	26082.62358
913	26070.09597
914	26069.87617
915	26058.05871
916	26044.1801
917	26043.47497
918	26035.13817
919	26030.48837
920	26026.40222
921	26010.91016
922	25995.36133
923	25985.49149
924	25979.09339
925	25973.18373
926	25964.56867
927	25955.26037
928	25941.62834
929	25928.98363
930	25920.1621
931	25914.38119
932	25905.89989
933	25885.29453
934	25879.53962
935	25865.8305
936	25858.82677
937	25855.1576
938	25854.58836
939	25842.07973
940	25833.13642
941	25826.01214
942	25815.87078
943	25809.959
944	25802.65893
945	25799.9751
946	25793.23555
947	25784.22244
948	25778.74516
949	25755.35472
950	25744.25986
951	25735.06781
952	25731.37918
953	25724.56657
954	25713.03244
955	25704.60564
956	25695.33068
957	25685.1343
958	25681.49932
959	25677.44054
960	25676.68497
961	25669.03323
962	25664.23522
963	25656.07368
964	25646.67732
965	25639.92241
966	25633.90241
967	25624.52562
968	25624.24077
969	25621.26799
970	25620.57865
971	25617.74503
972	25610.3722
973	25598.42057
974	25587.72424
975	25582.97124
976	25582.84825
977	25576.77349
978	25565.56862
979	25552.11406
980	25548.31417
981	25536.37421
